company_id,patents
533e0469-baac-46b7-9576-669db08092eb,4036
29b8f534-149e-443c-b76b-3c4a222da89c,3647
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,2081
55bc7465-2823-418d-9835-41d555c610a6,1460
5952964e-63c6-4284-9012-0fdd0643f715,1276
4ef2b9c8-d3e7-40d6-ac53-8694d8fe890f,1208
55715b8e-9037-47c9-8e27-a2acf13d6047,1145
b904f566-62d6-44a5-8689-7b5c5a3a1a19,1122
93f8c962-7a18-45c0-b192-7a141f9a8b6c,1106
906da649-dd98-4eac-a78c-d5dc3cc385b1,1099
